count,pattern_len,text_len,dictionary_len,function,time[ns]
0,5,100,4,naive_search,29900
0,5,100,4,sundays_search,23700
0,5,100,4,kmp_search,19000
0,5,100,4,python_naive_search,14200
0,6,100,4,naive_search,37900
0,6,100,4,sundays_search,18200
0,6,100,4,kmp_search,15400
0,6,100,4,python_naive_search,10700
0,7,100,4,naive_search,22700
0,7,100,4,sundays_search,11300
0,7,100,4,kmp_search,13700
0,7,100,4,python_naive_search,10500
0,8,100,4,naive_search,21900
0,8,100,4,sundays_search,11400
0,8,100,4,kmp_search,14900
0,8,100,4,python_naive_search,10000
0,9,100,4,naive_search,22100
0,9,100,4,sundays_search,9500
0,9,100,4,kmp_search,15400
0,9,100,4,python_naive_search,10100
0,10,100,4,naive_search,21900
0,10,100,4,sundays_search,14300
0,10,100,4,kmp_search,15800
0,10,100,4,python_naive_search,10000
0,11,100,4,naive_search,22000
0,11,100,4,sundays_search,11600
0,11,100,4,kmp_search,15600
0,11,100,4,python_naive_search,9600
0,5,150,4,naive_search,33200
0,5,150,4,sundays_search,14600
0,5,150,4,kmp_search,18700
0,5,150,4,python_naive_search,14300
0,6,150,4,naive_search,32800
0,6,150,4,sundays_search,21900
0,6,150,4,kmp_search,19400
0,6,150,4,python_naive_search,14500
0,7,150,4,naive_search,32600
0,7,150,4,sundays_search,19600
0,7,150,4,kmp_search,20600
0,7,150,4,python_naive_search,14500
0,8,150,4,naive_search,33000
0,8,150,4,sundays_search,12700
0,8,150,4,kmp_search,21200
0,8,150,4,python_naive_search,13600
0,9,150,4,naive_search,32400
0,9,150,4,sundays_search,15400
0,9,150,4,kmp_search,19100
0,9,150,4,python_naive_search,14200
0,10,150,4,naive_search,32000
0,10,150,4,sundays_search,18700
0,10,150,4,kmp_search,23700
0,10,150,4,python_naive_search,13400
0,11,150,4,naive_search,31400
0,11,150,4,sundays_search,15300
0,11,150,4,kmp_search,21400
0,11,150,4,python_naive_search,13900
0,5,200,4,naive_search,44000
0,5,200,4,sundays_search,23800
0,5,200,4,kmp_search,23200
0,5,200,4,python_naive_search,18000
0,6,200,4,naive_search,44000
0,6,200,4,sundays_search,39800
0,6,200,4,kmp_search,30200
0,6,200,4,python_naive_search,22600
0,7,200,4,naive_search,53000
0,7,200,4,sundays_search,29100
0,7,200,4,kmp_search,33000
0,7,200,4,python_naive_search,22700
0,8,200,4,naive_search,54500
0,8,200,4,sundays_search,33700
0,8,200,4,kmp_search,32800
0,8,200,4,python_naive_search,17500
0,9,200,4,naive_search,42500
0,9,200,4,sundays_search,20100
0,9,200,4,kmp_search,27200
0,9,200,4,python_naive_search,18300
0,10,200,4,naive_search,42500
0,10,200,4,sundays_search,18700
0,10,200,4,kmp_search,27100
0,10,200,4,python_naive_search,17100
0,11,200,4,naive_search,41000
0,11,200,4,sundays_search,20100
0,11,200,4,kmp_search,26600
0,11,200,4,python_naive_search,17500
1,5,250,4,naive_search,55200
1,5,250,4,sundays_search,28900
1,5,250,4,kmp_search,31400
1,5,250,4,python_naive_search,21700
0,6,250,4,naive_search,53000
0,6,250,4,sundays_search,24500
0,6,250,4,kmp_search,26500
0,6,250,4,python_naive_search,21400
0,7,250,4,naive_search,54800
0,7,250,4,sundays_search,24500
0,7,250,4,kmp_search,32000
0,7,250,4,python_naive_search,22100
0,8,250,4,naive_search,53300
0,8,250,4,sundays_search,26200
0,8,250,4,kmp_search,32700
0,8,250,4,python_naive_search,20600
0,9,250,4,naive_search,53800
0,9,250,4,sundays_search,21000
0,9,250,4,kmp_search,33500
0,9,250,4,python_naive_search,21900
0,10,250,4,naive_search,53500
0,10,250,4,sundays_search,29600
0,10,250,4,kmp_search,33000
0,10,250,4,python_naive_search,20700
0,11,250,4,naive_search,52700
0,11,250,4,sundays_search,21600
0,11,250,4,kmp_search,33700
0,11,250,4,python_naive_search,21200
1,5,300,4,naive_search,65700
1,5,300,4,sundays_search,35700
1,5,300,4,kmp_search,33600
1,5,300,4,python_naive_search,26100
0,6,300,4,naive_search,66500
0,6,300,4,sundays_search,31300
0,6,300,4,kmp_search,38900
0,6,300,4,python_naive_search,27500
0,7,300,4,naive_search,64200
0,7,300,4,sundays_search,31800
0,7,300,4,kmp_search,38900
0,7,300,4,python_naive_search,26700
0,8,300,4,naive_search,66000
0,8,300,4,sundays_search,28700
0,8,300,4,kmp_search,38900
0,8,300,4,python_naive_search,25400
0,9,300,4,naive_search,67300
0,9,300,4,sundays_search,25200
0,9,300,4,kmp_search,34200
0,9,300,4,python_naive_search,27500
0,10,300,4,naive_search,65100
0,10,300,4,sundays_search,38400
0,10,300,4,kmp_search,38200
0,10,300,4,python_naive_search,25500
0,11,300,4,naive_search,64900
0,11,300,4,sundays_search,24000
0,11,300,4,kmp_search,38600
0,11,300,4,python_naive_search,25400
0,5,350,4,naive_search,77800
0,5,350,4,sundays_search,47900
0,5,350,4,kmp_search,42500
0,5,350,4,python_naive_search,31800
0,6,350,4,naive_search,77100
0,6,350,4,sundays_search,36300
0,6,350,4,kmp_search,44000
0,6,350,4,python_naive_search,32800
0,7,350,4,naive_search,75400
0,7,350,4,sundays_search,40900
0,7,350,4,kmp_search,42200
0,7,350,4,python_naive_search,32400
0,8,350,4,naive_search,77000
0,8,350,4,sundays_search,34300
0,8,350,4,kmp_search,44100
0,8,350,4,python_naive_search,31000
0,9,350,4,naive_search,76300
0,9,350,4,sundays_search,28200
0,9,350,4,kmp_search,44200
0,9,350,4,python_naive_search,31600
0,10,350,4,naive_search,77700
0,10,350,4,sundays_search,49300
0,10,350,4,kmp_search,44800
0,10,350,4,python_naive_search,30400
0,11,350,4,naive_search,76800
0,11,350,4,sundays_search,31500
0,11,350,4,kmp_search,44300
0,11,350,4,python_naive_search,31400
0,5,400,4,naive_search,90200
0,5,400,4,sundays_search,38400
0,5,400,4,kmp_search,50700
0,5,400,4,python_naive_search,35000
0,6,400,4,naive_search,90400
0,6,400,4,sundays_search,34100
0,6,400,4,kmp_search,48000
0,6,400,4,python_naive_search,34400
0,7,400,4,naive_search,87800
0,7,400,4,sundays_search,46600
0,7,400,4,kmp_search,47200
0,7,400,4,python_naive_search,35000
0,8,400,4,naive_search,88200
0,8,400,4,sundays_search,40200
0,8,400,4,kmp_search,49200
0,8,400,4,python_naive_search,33800
0,9,400,4,naive_search,87400
0,9,400,4,sundays_search,54200
0,9,400,4,kmp_search,47500
0,9,400,4,python_naive_search,35000
0,10,400,4,naive_search,88900
0,10,400,4,sundays_search,35300
0,10,400,4,kmp_search,49200
0,10,400,4,python_naive_search,33800
0,11,400,4,naive_search,86500
0,11,400,4,sundays_search,40600
0,11,400,4,kmp_search,49100
0,11,400,4,python_naive_search,33300
1,5,450,4,naive_search,101700
1,5,450,4,sundays_search,58800
1,5,450,4,kmp_search,55300
1,5,450,4,python_naive_search,39000
0,6,450,4,naive_search,100200
0,6,450,4,sundays_search,40600
0,6,450,4,kmp_search,54800
0,6,450,4,python_naive_search,39700
0,7,450,4,naive_search,98100
0,7,450,4,sundays_search,56000
0,7,450,4,kmp_search,54400
0,7,450,4,python_naive_search,39200
0,8,450,4,naive_search,100400
0,8,450,4,sundays_search,46400
0,8,450,4,kmp_search,54300
0,8,450,4,python_naive_search,36600
0,9,450,4,naive_search,98900
0,9,450,4,sundays_search,64100
0,9,450,4,kmp_search,55400
0,9,450,4,python_naive_search,39500
0,10,450,4,naive_search,100900
0,10,450,4,sundays_search,61400
0,10,450,4,kmp_search,54900
0,10,450,4,python_naive_search,38300
0,11,450,4,naive_search,98400
0,11,450,4,sundays_search,61100
0,11,450,4,kmp_search,56100
0,11,450,4,python_naive_search,38600
0,5,500,4,naive_search,112100
0,5,500,4,sundays_search,40900
0,5,500,4,kmp_search,61000
0,5,500,4,python_naive_search,43500
1,6,500,4,naive_search,114200
1,6,500,4,sundays_search,67500
1,6,500,4,kmp_search,59600
1,6,500,4,python_naive_search,42200
0,7,500,4,naive_search,110300
0,7,500,4,sundays_search,37600
0,7,500,4,kmp_search,60900
0,7,500,4,python_naive_search,43200
0,8,500,4,naive_search,113300
0,8,500,4,sundays_search,43400
0,8,500,4,kmp_search,59400
0,8,500,4,python_naive_search,42100
0,9,500,4,naive_search,109800
0,9,500,4,sundays_search,33500
0,9,500,4,kmp_search,54500
0,9,500,4,python_naive_search,42800
0,10,500,4,naive_search,111000
0,10,500,4,sundays_search,49200
0,10,500,4,kmp_search,60000
0,10,500,4,python_naive_search,41500
0,11,500,4,naive_search,107400
0,11,500,4,sundays_search,64200
0,11,500,4,kmp_search,62100
0,11,500,4,python_naive_search,42300
1,5,550,4,naive_search,123900
1,5,550,4,sundays_search,60400
1,5,550,4,kmp_search,59500
1,5,550,4,python_naive_search,49000
0,6,550,4,naive_search,124100
0,6,550,4,sundays_search,56300
0,6,550,4,kmp_search,66400
0,6,550,4,python_naive_search,46800
0,7,550,4,naive_search,122600
0,7,550,4,sundays_search,47600
0,7,550,4,kmp_search,65100
0,7,550,4,python_naive_search,48100
0,8,550,4,naive_search,124700
0,8,550,4,sundays_search,48300
0,8,550,4,kmp_search,59700
0,8,550,4,python_naive_search,46000
0,9,550,4,naive_search,122200
0,9,550,4,sundays_search,55200
0,9,550,4,kmp_search,67400
0,9,550,4,python_naive_search,47700
0,10,550,4,naive_search,125400
0,10,550,4,sundays_search,42300
0,10,550,4,kmp_search,65200
0,10,550,4,python_naive_search,45900
0,11,550,4,naive_search,123500
0,11,550,4,sundays_search,72200
0,11,550,4,kmp_search,57200
0,11,550,4,python_naive_search,46900
2,5,600,4,naive_search,135700
2,5,600,4,sundays_search,78500
2,5,600,4,kmp_search,70300
2,5,600,4,python_naive_search,51500
0,6,600,4,naive_search,135600
0,6,600,4,sundays_search,62700
0,6,600,4,kmp_search,72800
